lat1,long1,lat2,long2
35.53844844,-87.29904272,33.6236966,-94.10948205
36.41678437,-87.72890439,41.72037493,-94.32120981
36.6608087,-87.76417531,35.02518884,-87.61205695
35.48424897,-87.51179029,39.09778764,-105.2865047
35.90752027,-85.44902111,31.94949505,-90.26271454
37.07143562,-86.54978758,36.78748589,-88.78000004
35.10893758,-87.40454927,35.19933909,-89.15966223
35.42015775,-85.67601038,39.01832423,-88.65773461
35.79960282,-86.4961536,37.9051871,-100.6820566
35.8323941,-87.7529802,35.09379746,-109.5951954
36.67047888,-86.89649487,35.88510326,-91.45382395
36.29564592,-86.94304985,44.86795085,-106.5402219
35.96382456,-85.69260249,44.26577774,-93.57711649
36.88592022,-87.95508568,28.70178114,-95.93701627
35.26441979,-87.40735673,47.92091059,-100.618939
36.4819987,-87.46207882,48.02373862,-102.7874484
35.24934424,-86.61131967,38.25684129,-106.9464848
36.12914576,-86.12547647,34.20685037,-98.59213296
37.48256449,-86.54417951,45.65713001,-90.3169206
35.77697109,-85.13850645,42.72786864,-110.5854715
36.22869211,-85.70546714,37.77639261,-109.7134
36.68718203,-88.38526269,34.92863119,-101.0274679
36.62948336,-86.91141769,35.39156169,-105.6527064
36.14612154,-85.55822217,33.78898508,-106.062292
36.23484213,-86.05180396,34.79711241,-87.26883508
35.26703233,-87.05382798,33.7634904,-89.7173778
36.90204906,-88.22105585,31.15052685,-92.46458647
36.49424047,-86.52377298,28.6128926,-96.37234787
37.23149697,-87.14443092,45.3307213,-97.33107724
36.24803695,-85.42205518,37.66239128,-97.68098075
35.97670326,-87.07275633,37.80798019,-98.59433473
36.56274718,-87.00885411,44.57834195,-95.10773331
36.17768086,-86.41968356,31.02056644,-97.31773145
35.01514062,-86.14294327,47.57683964,-97.37966021
35.4470392,-87.87561699,34.18003347,-88.94474205
35.89235545,-85.73029942,41.0028075,-100.4327209
35.90045494,-85.15159073,38.7048652,-110.0449577
37.56001751,-86.34969239,31.88467858,-106.6585265
36.44640957,-87.28870049,32.34329499,-93.74049948
35.25904029,-87.05432703,46.92264371,-101.2968551
36.77330434,-88.3967634,35.45222833,-98.29135092
37.26990147,-86.40127017,47.15189939,-101.7202797
36.92500191,-86.66720605,33.6121753,-100.8012095
36.47834846,-88.13648368,30.82341075,-93.13753918
35.10568916,-86.04095736,39.68100204,-90.53282841
35.67626482,-87.92169971,31.6096434,-106.5814392
35.11790546,-87.19938108,43.90240082,-93.07630051
36.88217565,-87.42133135,42.1771748,-101.8950876
35.77603421,-85.72440635,39.6766658,-109.760109
34.8926625,-87.02718506,46.04369032,-106.8838668
35.14923876,-87.65001458,44.17442919,-106.6104499
36.38150978,-86.79614022,44.37909289,-107.6902184
36.05566351,-85.66841409,30.54476826,-97.8135911
35.91660085,-85.23865952,46.78842797,-97.37914243
35.80710038,-87.09788769,42.20014306,-110.2874328
